train_size,q_error_mean,q_error_median,q_error_90_percentile
2,1.270912133389722,1.1368268852348908,1.5794061759950488
4,1.2499438980669624,1.1294654904671915,1.6532533693280265
6,1.1310580682811573,1.0654192839601513,1.2758581001958664
8,1.1397447155237568,1.0685506331432126,1.2020690418287532
10,1.1371866095475416,1.08021056964749,1.2384035887885843
20,1.213397392768435,1.097614679497913,1.3520363105397253
40,1.0962848517457278,1.0720120841688618,1.1837293373596647
80,1.0775432393651987,1.0426532575323182,1.168073803486235
100,1.0317356823206036,1.0237082873402399,1.0586279646214307
